comment_id	comment_length	author	city	age
505749	3	54473035	Тула	0
505750	4	263852456	Kotka	22
505751	4	22131088	Санкт-Петербург	21
505752	12	96196275	0	0
505753	6	100596343	Кирово-Чепецк	0
505754	1	52389843	0	0
505755	4	12656783	Москва	0
505756	6	11320665	Ростов-на-Дону	0
505758	7	366238260	0	27
505760	3	365192781	Amsterdam	0
505761	22	392069768	0	0
505764	4	53330339	0	0
505765	7	5790438	Москва	0
505766	11	54473035	Тула	0
505767	3	403822729	Гомель	0
505769	1	392069768	0	0
505771	4	356070482	0	0
505772	4	356070482	0	0
505774	12	110057	Санкт-Петербург	0
505775	6	200000543	0	0
505778	5	165872497	0	0
505790	3	122967496	Темиртау	21
505793	4	11320665	Ростов-на-Дону	0
505795	2	391228909	Санкт-Петербург	116
505796	2	196916071	Светогорск	0
505809	6	644101	Darmstadt	28
505844	3	381859252	0	0
506176	1	394106916	0	0
505716	2	56248802	Ставрополь	24
505717	2	293286492	London	17
505718	3	5773673	Киев	0
505719	3	12549469	0	0
505721	4	27397	Москва	31
505722	12	5773673	Киев	0
505723	1	60228819	Москва	0
505725	15	168249549	Ростов-на-Дону	0
505726	6	10752065	Санкт-Петербург	0
505728	8	4202028	Екатеринбург	0
505729	33	168249549	Ростов-на-Дону	0
505731	53	4202028	Екатеринбург	0
505732	133	168249549	Ростов-на-Дону	0
505733	15	4202028	Екатеринбург	0
505734	50	284366429	Хабаровск	19
505735	30	9733336	Таганрог	27
505736	5	4202028	Екатеринбург	0
505737	54	168249549	Ростов-на-Дону	0
505740	9	168249549	Ростов-на-Дону	0
505742	16	4202028	Екатеринбург	0
505743	2	168249549	Ростов-на-Дону	0
505800	8	40218	Санкт-Петербург	0
505813	2	18761496	Санкт-Петербург	0
505995	9	60228819	Москва	0
505680	8	31528815	Санкт-Петербург	0
505681	3	51406958	0	0
505682	9	131676989	Алматы	17
505683	23	93231716	Владивосток	19
505684	3	2140107	Санкт-Петербург	30
505685	21	14512651	Санкт-Петербург	26
505686	30	360259512	0	0
505687	7	48075937	Санкт-Петербург	22
505688	20	12888621	Ростов-на-Дону	0
505689	2	2478704	Москва	26
505690	4	62705112	Санкт-Петербург	0
505691	24	90155292	Санкт-Петербург	0
505692	11	74155584	Новоуральск	21
505693	13	90394279	Санкт-Петербург	0
505694	38	132087680	Москва	0
505695	17	246912564	Москва	19
505696	9	100430933	Владимир	21
505697	6	88661862	Саратов	22
505698	9	28390665	0	0
505699	45	125752987	Чернигов	0
505700	4	5356104	Железнодорожный_(Балашиха)	26
505701	14	5356104	Железнодорожный_(Балашиха)	26
505702	11	192895553	Москва	0
505703	1	413750468	0	116
505704	15	37260400	Уфа	27
505705	24	192895553	Москва	0
505706	46	246912564	Москва	19
505707	13	192895553	Москва	0
505708	1	949692	0	26
505709	43	131126045	Самара	0
505710	9	50279874	Челябинск	0
505711	13	192895553	Москва	0
505712	8	417819668	0	0
505713	53	2400926	Уфа	27
505720	10	282013739	0	0
505724	4	14500609	Санкт-Петербург	97
505727	86	131126045	Самара	0
505730	20	282013739	0	0
505738	10	823863	Санкт-Петербург	29
505739	46	132087680	Москва	0
505757	18	3517486	Новосибирск	35
505759	27	132087680	Москва	0
505762	23	3517486	Новосибирск	35
505768	92	2400926	Уфа	27
505770	55	2400926	Уфа	27
505773	31	2400926	Уфа	27
505776	131	2400926	Уфа	27
505787	81	131126045	Самара	0
505798	59	2400926	Уфа	27
505801	26	131126045	Самара	0
505804	9	1008004	Москва	0
505805	65	1008004	Москва	0
505807	24	2400926	Уфа	27
505894	54	5731174	Ростов-на-Дону	34
505969	11	70868164	Москва	33
505616	11	46201202	Екатеринбург	20
505617	3	51406958	0	0
505618	54	34514008	Москва	29
505619	7	2327012	Санкт-Петербург	25
505620	7	252569101	Новосибирск	23
505621	6	9891809	Черновцы	24
505622	1	15202178	Казань	0
505623	3	488330	Москва	101
505624	2	146343892	Минск	0
505625	7	2609073	Wroclaw	22
505626	8	45730717	0	0
505627	8	2240394	Москва	27
505630	9	192002269	Харьков	20
505631	3	90755388	T'umano	35
505638	15	202522023	0	0
505639	7	29747173	0	34
505641	14	202522023	0	0
505642	5	29747173	0	34
505643	4	202522023	0	0
505654	11	26888680	Минск	0
505673	50	168249549	Ростов-на-Дону	0
505533	4	11535766	Ярославль	26
505534	2	7431439	Санкт-Петербург	0
505536	4	847172	Краснодар	0
505537	5	237796147	Ростов-на-Дону	0
